"Status","Address","Sales Price","New/Resale"
"CLOSD","1545 N 31st ST","$411,933","New (never occupied)"
"CLOSD","2906 Windsorview DR","$410,000","Resale (occupied at least once)"
"CLOSD","8524 Kingsland Park DR","$408,995","New (never occupied)"
"CLOSD","8139 St Emilion CT","$406,895","New (never occupied)"
"CLOSD","619 Green Garden CIR","$405,000","Resale (occupied at least once)"
"CLOSD","1541 N 31st ST","$403,820","New (never occupied)"
"CLOSD","3804 Clarendon Crescent PL","$401,755","New (never occupied)"
"CLOSD","7719 Lovegrass TER","$400,990","New (never occupied)"
"CLOSD","101 Old Charles ST Unit#A","$400,486","New (never occupied)"
"CLOSD","8137 Hillcreek DR","$396,950","Resale (occupied at least once)"
"CLOSD","6107 Barnwood DR","$395,000","Resale (occupied at least once)"
"CLOSD","13206 Silverdust LN","$385,000","Resale (occupied at least once)"
"CLOSD","1549 N 31st ST","$385,000","New (never occupied)"
"CLOSD","232 Central PKY","$384,210","New (never occupied)"
"CLOSD","3112 Kuhn ST","$382,382","New (never occupied)"
"CLOSD","2797 Sanctuary Commons CT","$380,230","New (never occupied)"
"CLOSD","3731 Lacroix WAY","$380,073","New (never occupied)"
"CLOSD","3210 Delaware AVE","$375,000","New (never occupied)"
"CLOSD","816 N 24th ST","$372,000","Resale (occupied at least once)"
"CLOSD","6496 Faulkner DR","$371,290","New (never occupied)"
"CLOSD","6009 Oak Landing DR","$370,000","Resale (occupied at least once)"
"CLOSD","6813 Dunton RD","$369,110","New (never occupied)"
"CLOSD","13118 Stockleigh DR","$365,000","Resale (occupied at least once)"
"CLOSD","12837 Chester Grove DR","$365,000","Resale (occupied at least once)"
"CLOSD","3736 Lacroix WAY","$364,158","New (never occupied)"
"CLOSD","6828 Leire LN","$363,842","New (never occupied)"
"CLOSD","10152 Beaumont AVE","$363,000","New (never occupied)"
"CLOSD","11242 Lost Parrish DR","$360,515","New (never occupied)"
"CLOSD","4901 Appelman Ridge CT","$360,216","New (never occupied)"
"CLOSD","1305 Wentbridge RD","$360,000","Resale (occupied at least once)"
"CLOSD","12221 Dutch Elm CIR","$356,921","New (never occupied)"
"CLOSD","3816 Quinn Abbey LN","$356,655","New (never occupied)"
"CLOSD","4912 Lancewood RD","$356,485","New (never occupied)"
"CLOSD","2009 Lindsey Gabriel DR","$355,000","Resale (occupied at least once)"
"CLOSD","7970 Uplands DR","$354,990","New (never occupied)"
"CLOSD","8304 Robert Bruce DR","$350,000","Resale (occupied at least once)"
"CLOSD","1640 Westhall Gardens DR Unit#23-3","$345,753","New (never occupied)"
"CLOSD","6419 Little Creek WAY","$345,500","Resale (occupied at least once)"
"CLOSD","2 Catalpa TER","$345,395","New (never occupied)"
"CLOSD","7859 James Field MANOR","$345,070","New (never occupied)"
"CLOSD","2017 R ST","$345,000","New (never occupied)"
"CLOSD","10257 Willmark WAY Unit#ED","$344,050","New (never occupied)"
"CLOSD","2402 Sandler CT","$341,950","New (never occupied)"
"CLOSD","7827 Faisan Ln","$339,990","New (never occupied)"
"CLOSD","3737 Cannington DR","$339,000","Resale (occupied at least once)"
"CLOSD","7413 Appelman RD","$336,046","New (never occupied)"
"CLOSD","3730 Pheasant Run DR","$325,000","Resale (occupied at least once)"
"CLOSD","421 Queen Emily PL","$324,000","Resale (occupied at least once)"
"CLOSD","12754 Summerhouse LN","$320,000","Resale (occupied at least once)"
"CLOSD","12620 Crooked Creek DR","$320,000","Resale (occupied at least once)"
"CLOSD","8811 Leisure LN","$315,000","Resale (occupied at least once)"
"CLOSD","5920 Almond Tree TER","$315,000","Resale (occupied at least once)"
"CLOSD","3526 Missouri AVE","$310,000","Resale (occupied at least once)"
"CLOSD","5412 Cranemore RD","$305,000","Resale (occupied at least once)"
"CLOSD","7921 Southford TER","$305,000","Resale (occupied at least once)"
"CLOSD","5234 Appleleaf CT","$305,000","Resale (occupied at least once)"
"CLOSD","3371 Winsford WAY Unit#N-5","$302,630","New (never occupied)"
"CLOSD","15100 Winding Ash DR","$300,000","Resale (occupied at least once)"
"CLOSD","4209 Country Spring LN","$300,000","Resale (occupied at least once)"
"CLOSD","3910 Grove Point DR Unit#B-D","$299,730","New (never occupied)"
"CLOSD","34 Taft ST","$299,000","Resale (occupied at least once)"
"CLOSD","2820 EXECUTIVE DR","$295,950","Resale (occupied at least once)"
"CLOSD","12632 Prestonfield DR","$295,000","Resale (occupied at least once)"
"CLOSD","7606 Sandler DR","$293,930","New (never occupied)"
"CLOSD","2520 Porter ST","$292,000","Resale (occupied at least once)"
"CLOSD","2116 P ST","$290,500","Resale (occupied at least once)"
"CLOSD","1317 N 26th ST","$290,000","Resale (occupied at least once)"
"CLOSD","4909 Clayton RD","$285,000","Resale (occupied at least once)"
"CLOSD","8436 Sir Lionel PL","$285,000","Resale (occupied at least once)"
"CLOSD","15811 Tinsberry PL","$283,200","Resale (occupied at least once)"
"CLOSD","4907 Appelman RD","$282,032","New (never occupied)"
"CLOSD","5610 Jefferson ST","$281,440","New (never occupied)"
"CLOSD","9113 Woodlake DR","$280,100","Resale (occupied at least once)"
"CLOSD","3602 Galena AVE","$280,000","Resale (occupied at least once)"
"CLOSD","1001 Briars CT Unit#304","$279,450","Resale (occupied at least once)"
"CLOSD","1610 Grove AVE Unit#U11","$279,000","Resale (occupied at least once)"
"CLOSD","202 Damascus DR","$275,000","Resale (occupied at least once)"
"CLOSD","4807 Altair RD","$274,900","Resale (occupied at least once)"
"CLOSD","3960 Grove Point DR Unit#F-B","$270,155","New (never occupied)"
"CLOSD","3182 Darbytown RD","$270,000","Resale (occupied at least once)"
"CLOSD","3229 Arthurwood PL","$270,000","Resale (occupied at least once)"
"CLOSD","5316 Oak Leaf LN","$270,000","Resale (occupied at least once)"
"CLOSD","4358 Jalee DR","$269,924","Resale (occupied at least once)"
"CLOSD","1657 W Broad ST Unit#U8","$265,000","Resale (occupied at least once)"
"CLOSD","2314 Halifax AVE","$265,000","New (never occupied)"
"CLOSD","2911 Lawson ST","$265,000","Resale (occupied at least once)"
"CLOSD","8118 Fallbrooke DR","$262,950","Resale (occupied at least once)"
"CLOSD","716 S Ivy AVE","$261,000","Resale (occupied at least once)"
"CLOSD","9607 Torno DR","$260,000","Resale (occupied at least once)"
"CLOSD","3106 Winchester ST","$260,000","Resale (occupied at least once)"
"CLOSD","6624 Lakeshore DR","$259,950","New (never occupied)"
"CLOSD","1902 Butor RD","$258,000","Resale (occupied at least once)"
"CLOSD","3129 Newington CT","$257,000","Resale (occupied at least once)"
"CLOSD","3001 Oxnard RD","$256,350","Resale (occupied at least once)"
"CLOSD","2308 Johnson PL","$256,000","Resale (occupied at least once)"
"CLOSD","105 Jackson AVE","$255,900","Resale (occupied at least once)"
"CLOSD","4303 Kidsgrove RD Unit#H-5","$255,040","New (never occupied)"
"CLOSD","3303 Walnut Cove CT","$252,000","Resale (occupied at least once)"
"CLOSD","1018 Garber ST","$250,000","Resale (occupied at least once)"
"CLOSD","1433 Almond Tree DR","$250,000","Resale (occupied at least once)"
"CLOSD","3113 1st AVE","$250,000","Resale (occupied at least once)"
"CLOSD","4624 Raspberry Patch LN","$250,000","Resale (occupied at least once)"
"CLOSD","903 Dominion Townes CT","$250,000","Resale (occupied at least once)"
"CLOSD","2208 Joplin AVE","$249,750","New (never occupied)"
"CLOSD","8 Ainsworth LN","$249,000","Resale (occupied at least once)"
"CLOSD","242 Sag Harbor CT Unit#A","$248,765","New (never occupied)"
"CLOSD","10171 Brightwood AVE","$247,000","New (never occupied)"
"CLOSD","3503 Middlewich WAY Unit#I-5","$245,020","New (never occupied)"
"CLOSD","117 South ST","$245,000","Resale (occupied at least once)"
"CLOSD","1733 N 28th ST","$245,000","Resale (occupied at least once)"
"CLOSD","11408 Claimont Mill DR Unit#13-3","$244,220","New (never occupied)"
"CLOSD","306 Sag Harbor PL Unit#D","$240,835","New (never occupied)"
"CLOSD","6611 Battlewood RD","$240,000","Resale (occupied at least once)"
"CLOSD","5307 Greatbridge TER","$240,000","Resale (occupied at least once)"
"CLOSD","210 Rocketts WAY Unit#303","$239,000","Resale (occupied at least once)"
"CLOSD","2909 Sandy Grove CT","$237,500","Resale (occupied at least once)"
"CLOSD","4006 Simons DR","$235,000","Resale (occupied at least once)"
"CLOSD","311 S Lake AVE","$235,000","Resale (occupied at least once)"
"CLOSD","212 Larne","$235,000","Resale (occupied at least once)"
"CLOSD","3020 Montecrest AVE","$235,000","Resale (occupied at least once)"
"CLOSD","217 N New AVE","$235,000","Resale (occupied at least once)"
"CLOSD","110 E Magruder ST","$234,000","Resale (occupied at least once)"
"CLOSD","2517 Farrand ST","$230,000","Resale (occupied at least once)"
"CLOSD","1410 Southbury AVE","$230,000","Resale (occupied at least once)"
"CLOSD","1529 N 31st ST","$230,000","New (never occupied)"
"CLOSD","214 Hodder LN","$228,500","Resale (occupied at least once)"
"CLOSD","2022 Buckner ST","$227,900","Resale (occupied at least once)"
"CLOSD","5330 Chesswood DR","$225,000","Resale (occupied at least once)"
"CLOSD","19210 Old Cryors RD","$225,000","Resale (occupied at least once)"
"CLOSD","4228 Rosedown PL","$225,000","Resale (occupied at least once)"
"CLOSD","7336 Pineleaf DR","$220,250","Resale (occupied at least once)"
"CLOSD","323 Seven Pines AVE","$220,000","Resale (occupied at least once)"
"CLOSD","3025 Sherbourne RD","$218,000","Resale (occupied at least once)"
"CLOSD","20106 Glenlivet CT","$216,800","Resale (occupied at least once)"
"CLOSD","1049 Dixon DR","$215,000","Resale (occupied at least once)"
"CLOSD","25115 Gilmar CT","$215,000","Resale (occupied at least once)"
"CLOSD","4610 Milfax RD","$213,000","Resale (occupied at least once)"
"CLOSD","411 Sherman AVE","$210,000","Resale (occupied at least once)"
"CLOSD","3705 Yard Arm DR","$210,000","Resale (occupied at least once)"
"CLOSD","320 Spring ST","$210,000","Resale (occupied at least once)"
"CLOSD","511 Bancroft AVE","$210,000","Resale (occupied at least once)"
"CLOSD","1705 N 19th ST","$203,500","Resale (occupied at least once)"
"CLOSD","4602 Carpenter RD","$200,000","Resale (occupied at least once)"
"CLOSD","2323 National ST","$198,000","Resale (occupied at least once)"
"CLOSD","4703 Craddock AVE","$195,000","Resale (occupied at least once)"
"CLOSD","2210 Binford LN","$194,000","Resale (occupied at least once)"
"CLOSD","538 N Azalea RD","$190,000","Resale (occupied at least once)"
"CLOSD","1616 N 28th ST","$190,000","New (never occupied)"
"CLOSD","1618 Kingswood ST","$189,900","Resale (occupied at least once)"
"CLOSD","2534 Crestwood AVE","$187,000","Resale (occupied at least once)"
"CLOSD","2241 Buckner ST","$175,450","Resale (occupied at least once)"
"CLOSD","603 Hill AVE","$175,000","Resale (occupied at least once)"
"CLOSD","3001 Rushton RD","$175,000","Resale (occupied at least once)"
"CLOSD","132 N Fern AVE","$171,000","Resale (occupied at least once)"
"CLOSD","911 Irby","$170,000","Resale (occupied at least once)"
"CLOSD","3220 Maryland AVE","$170,000","Resale (occupied at least once)"
"CLOSD","711 Keswick RD","$170,000","Resale (occupied at least once)"
"CLOSD","7108 Stonington CT","$170,000","Resale (occupied at least once)"
"CLOSD","310 Youngs RD","$165,000","Resale (occupied at least once)"
"CLOSD","8412 Oconnor CT Unit#1","$165,000","Resale (occupied at least once)"
"CLOSD","858 Apperson ST","$150,950","Resale (occupied at least once)"
"CLOSD","2141 Binford LN","$150,000","Resale (occupied at least once)"
"CLOSD","1514 Honor DR Unit#1542","$145,000","Resale (occupied at least once)"
"CLOSD","3612 Main ST","$137,000","Resale (occupied at least once)"
"CLOSD","21508 Jackson ST","$136,000","Resale (occupied at least once)"
"CLOSD","521 Highland DR","$122,000","Resale (occupied at least once)"
"CLOSD","102 N 14th AVE","$103,000","Resale (occupied at least once)"
"CLOSD","829 Farmer ST","$42,000","Resale (occupied at least once)"
"CLOSD","526 Harrison ST","$32,000","Resale (occupied at least once)"
"PEND","510 N 9th AVE","","Resale (occupied at least once)"
"PEND","5949 E Stonepath Garden DR Unit#5949","","Resale (occupied at least once)"
"PEND","1736 New Settlement DR","","New (never occupied)"
"PEND","4507 Cathlow CIR","","Resale (occupied at least once)"
"PEND","9300 Carroll LN","","Resale (occupied at least once)"
"PEND","6554 Blenheim RD","","Resale (occupied at least once)"
"PEND","3705 Woodlawn ST","","Resale (occupied at least once)"
"PEND","2503 Haden AVE","","Resale (occupied at least once)"
"PEND","4308 Cypress DR","","Resale (occupied at least once)"
"PEND","9476 Wickham Crossing Way","","New (never occupied)"
"PEND","300 Taylor RD","","New (never occupied)"
"PEND","7923 Honeybee CT","","New (never occupied)"
"PEND","1513 N 31st ST","","New (never occupied)"
"PEND","11835 Knockholt LN Unit#141","","New (never occupied)"
"PEND","3820 Meridian AVE","","New (never occupied)"
"PEND","19312 Rosewood LN","","New (never occupied)"
"PEND","190 Carey ST","","New (never occupied)"
"PEND","3372 Dewsberry LN Unit#A-1","","New (never occupied)"
"PEND","2431 Ownby LN Unit#B-9","","New (never occupied)"
"PEND","2618 Falling Creek AVE","","New (never occupied)"
"PEND","8749 Kingsland Park TER","","New (never occupied)"
"PEND","4300 Dominion Forest CIR","","New (never occupied)"
"PEND","5269 Old Main ST","","Resale (occupied at least once)"
"PEND","13330 Blue Heron LOOP","","New (never occupied)"
